Location ISO Code;Location;New Cases;New Deaths;New Recovered;New Active Cases;Total Cases;Total Deaths;Total Recovered;Total Active Cases;Location Level;City or Regency;Province;Country;Continent;Island;Time Zone;Special Status;Total Regencies;Total Cities;Total Districts;Total Urban Villages;Total Rural Villages;Area (km2);Population;Population Density;Longitude;Latitude;New Cases per Million;Total Cases per Million;New Deaths per Million;Total Deaths per Million;Case Fatality Rate;Case Recovered Rate;Growth Factor of New Cases;Growth Factor of New Deaths;Name;Item;Kind;Hidden
ID-RI;Riau;166;5;76;85;4102;80;1786;2236;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;27.33.00;675.33.00;0,056944444;13.17;1.95%;43.54%;01.22;01.25;;;;
ID-RI;Riau;188;4;25;159;4290;84;1811;2395;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;30.95;706.28.00;0,045833333;0,599305556;1.96%;42.21%;01.13;0,055555556;;;;
ID-RI;Riau;236;8;37;191;4526;92;1848;2586;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;38.85;745.13.00;01.32;15.15;2.03%;40.83%;01.26;02.00;;;;
ID-RI;Riau;228;3;204;21;4754;95;2052;2607;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;37.54.00;782.67;00.49;0,669444444;2.00%;43.16%;0,067361111;00.38;;;;
ID-RI;Riau;297;2;75;220;5051;97;2127;2827;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;48.90;831.56.00;00.33;0,692361111;1.92%;42.11%;01.30;0,046527778;;;;
ID-RI;Riau;107;1;10;96;2035;36;1039;960;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;0,751388889;335.03.00;00.16;0,272916667;1.77%;51.06%;01.32;01.00;;;;
ID-RI;Riau;282;3;80;199;5333;100;2207;3026;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;46.43.00;877.99;00.49;16.46;1.88%;41.38%;0,065972222;01.50;;;;
ID-RI;Riau;160;6;35;119;5493;106;2242;3145;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;26.34.00;904.33.00;0,06875;17.45;1.93%;40.82%;00.57;02.00;;;;
ID-RI;Riau;249;0;139;110;5742;106;2381;3255;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;40.99;945.33.00;00.00;17.45;1.85%;41.47%;01.56;00.00;;;;
ID-RI;Riau;189;11;329;-151;5931;117;2710;3104;Province;;Riau;Indonesia;Asia;Sumatera;UTC+07:00;;10;2;169;268;1591;87024;6074100;69.80;1.018.051.092;0.511647851;31.12.00;976.44.00;0,097916667;19.26;1.97%;45.69%;0,052777778;;;;;
